col0,country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
,France,FR,FRK,Auvergne-Rhône-Alpes,17317,44127,7948287,555.1762285383,154203,67320216,3209.58714689804,7.13671165052453,TRUE,7.71950001783103,2822.34398430756,Dark red,2021-17
,France,FR,FRL,Provence-Alpes-Côte d’Azur,11990,31777,5030890,631.63774202974,154203,67320216,3209.58714689804,7.13671165052453,TRUE,6.31953997543865,3771.28102582247,Dark red,2021-17
,France,FR,FRM,Corse,370,897,334938,267.810759006144,154203,67320216,3209.58714689804,7.13671165052453,TRUE,2.64625947646975,4174.50393804226,Red,2021-17
,France,FR,FRY1,Guadeloupe,798,1811,390253,464.057931649468,154203,67320216,3209.58714689804,7.13671165052453,TRUE,10.1217656012177,2020.227903437,Red,2021-17
,France,FR,FRY2,Martinique,359,1062,372594,285.028744424226,154203,67320216,3209.58714689804,7.13671165052453,TRUE,5.08858965272856,1893.481913289,Red,2021-17
,France,FR,FRY3,Guyane,687,1458,268700,542.612579084481,154203,67320216,3209.58714689804,7.13671165052453,TRUE,8.58213616489694,2979.15891328619,Dark red,2021-17
,France,FR,FRY4,La Réunion,1075,2276,853659,266.616998122201,154203,67320216,3209.58714689804,7.13671165052453,TRUE,3.45026799756074,3649.81801867022,Red,2021-17
,France,FR,FRY5,Mayotte,91,268,250143,107.138716654074,154203,67320216,3209.58714689804,7.13671165052453,TRUE,3.15752949340736,1152.14097536209,Orange,2021-17
,Germany,DE,DE1,Baden-Württemberg,19950,42580,11069533,384.659407040929,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE2,Bayern,18957,42871,13076721,327.842124948601,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE3,Berlin,4466,9794,3644826,268.709672286139,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE4,Brandenburg,2699,5853,2511917,233.009291310183,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE5,Bremen,852,1914,682986,280.240004919574,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE6,Hamburg,1874,4063,1841179,220.673818243636,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE7,Hessen,9538,21210,6265809,338.503775011335,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE8,Mecklenburg-Vorpommern,1979,4242,1609675,263.531458213615,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DE9,Niedersachsen,8259,18466,7982448,231.33254360066,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEA,Nordrhein-Westfalen,28637,64217,17932651,358.100985738249,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEB,Rheinland-Pfalz,5160,11183,4084844,273.76810473056,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEC,Saarland,1396,2921,990509,294.898885320578,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DED,Sachsen,9254,19352,4077937,474.553677508995,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEE,Sachsen-Anhalt,3689,7978,2208321,361.269942186847,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEF,Schleswig-Holstein,1652,3798,2896712,131.114173587157,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Germany,DE,DEG,Thüringen,4853,9766,2143145,455.685452920824,126657,83166711,1683.36583612162,9.04692857142857,FALSE,9.04692857142857,1683.36583612162,Red,2021-17
,Greece,EL,EL30,Attiki,6696,15117,3742235,403.956459174798,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL41,Voreio Aigaio,53,120,221098,54.274575075306,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Orange,2021-17
,Greece,EL,EL42,Notio Aigaio,434,434,344027,126.152889162769,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Orange,2021-17
,Greece,EL,EL43,Kriti,481,1111,634930,174.979919046194,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL51,"Anatoliki Makedonia, Thraki",539,1282,599723,213.765355005561,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
,Greece,EL,EL52,Kentriki Makedonia,2679,6046,1873777,322.663796172117,13293,10718565,7628.93167135713,1.62563347486646,FALSE,1.62563347486646,7628.93167135713,Red,2021-17
